nisn,password,status_aktif,nama,angkatan,jurusan,kelas,panggilan,jk,tmp_lahir,tgl_lahir,agama,wn,alamat,hp,tb,bb,anak_ke,jml_sdr_kandung,yatim,tinggal_dgn,ayah_nama,ayah_kerja,ayah_hp,ibu_nama,ibu_kerja,ibu_hp
0073045205,password123,drop_out,Siswa Dummy Ke-76,2023,Bahasa,10 Bahasa 1,Siswa 76,Laki-laki,Yogyakarta,2008-01-31,Konghucu,WNI,"Jl. Contoh Dummy No. 76, Kota Yogyakarta",086416483411,177,51,2,5,Piatu,Orang Tua,Ayah dari Siswa 76,Wiraswasta,083182119199,Ibu dari Siswa 76,Pegawai Swasta,087051715215
0094679391,password123,lulus,Siswa Dummy Ke-77,2023,IPS,10 IPS 1,Siswa 77,Laki-laki,Yogyakarta,2008-03-17,Konghucu,WNI,"Jl. Contoh Dummy No. 77, Kota Yogyakarta",085300101720,158,78,2,3,Piatu,Orang Tua,Ayah dari Siswa 77,Wiraswasta,085344491859,Ibu dari Siswa 77,Wiraswasta,082650417379
0043831836,password123,lulus,Siswa Dummy Ke-78,2023,IPA,10 IPA 1,Siswa 78,Laki-laki,Bandung,2007-10-25,Katolik,WNI,"Jl. Contoh Dummy No. 78, Kota Bandung",083596121986,156,79,2,2,Yatim,Orang Tua,Ayah dari Siswa 78,Pegawai Swasta,087203958513,Ibu dari Siswa 78,PNS,089607416809
0033056706,password123,lulus,Siswa Dummy Ke-79,2023,IPS,10 IPS 1,Siswa 79,Laki-laki,Yogyakarta,2007-03-29,Konghucu,WNI,"Jl. Contoh Dummy No. 79, Kota Yogyakarta",088109057921,177,67,1,3,Yatim Piatu,Orang Tua,Ayah dari Siswa 79,PNS,082921056029,Ibu dari Siswa 79,Ibu Rumah Tangga,088213032075
0083672228,password123,drop_out,Siswa Dummy Ke-80,2023,IPA,10 IPA 1,Siswa 80,Laki-laki,Yogyakarta,2007-09-21,Katolik,WNI,"Jl. Contoh Dummy No. 80, Kota Yogyakarta",087986718579,175,50,1,4,Piatu,Orang Tua,Ayah dari Siswa 80,Pegawai Swasta,087962346652,Ibu dari Siswa 80,Pegawai Swasta,087876320811
0085192149,password123,lulus,Siswa Dummy Ke-81,2023,IPA,10 IPA 1,Siswa 81,Laki-laki,Malang,2008-05-10,Katolik,WNI,"Jl. Contoh Dummy No. 81, Kota Malang",085512368848,178,70,2,5,Yatim,Orang Tua,Ayah dari Siswa 81,Petani,087570944680,Ibu dari Siswa 81,Wiraswasta,082945287685
0060350198,password123,lulus,Siswa Dummy Ke-82,2023,Bahasa,10 Bahasa 1,Siswa 82,perempuan,Jakarta,2008-10-27,Buddha,WNI,"Jl. Contoh Dummy No. 82, Kota Jakarta",082656654260,156,47,1,5,Yatim,Orang Tua,Ayah dari Siswa 82,Petani,081385725583,Ibu dari Siswa 82,PNS,087542559028
0015928550,password123,aktif,Siswa Dummy Ke-83,2023,Bahasa,10 Bahasa 1,Siswa 83,perempuan,Bandung,2008-10-24,Hindu,WNI,"Jl. Contoh Dummy No. 83, Kota Bandung",082692674860,152,74,2,5,Piatu,Orang Tua,Ayah dari Siswa 83,Petani,086467195359,Ibu dari Siswa 83,Ibu Rumah Tangga,081920272108
0064045893,password123,aktif,Siswa Dummy Ke-84,2023,Multimedia,10 Multimedia 1,Siswa 84,Laki-laki,Semarang,2007-07-30,Hindu,WNI,"Jl. Contoh Dummy No. 84, Kota Semarang",082354938895,174,47,2,4,Yatim,Orang Tua,Ayah dari Siswa 84,Pegawai Swasta,088891444267,Ibu dari Siswa 84,Ibu Rumah Tangga,085124062332
0055898440,password123,lulus,Siswa Dummy Ke-85,2023,Bahasa,10 Bahasa 1,Siswa 85,perempuan,Semarang,2008-03-31,Islam,WNI,"Jl. Contoh Dummy No. 85, Kota Semarang",089135560230,162,65,2,4,Yatim,Orang Tua,Ayah dari Siswa 85,PNS,088176626696,Ibu dari Siswa 85,Ibu Rumah Tangga,086811947899
0078843316,password123,aktif,Siswa Dummy Ke-86,2023,IPS,10 IPS 1,Siswa 86,perempuan,Surabaya,2008-03-01,Konghucu,WNI,"Jl. Contoh Dummy No. 86, Kota Surabaya",089245482801,170,42,1,2,Yatim,Orang Tua,Ayah dari Siswa 86,Wiraswasta,089135721168,Ibu dari Siswa 86,Ibu Rumah Tangga,088785414232
0040574900,password123,drop_out,Siswa Dummy Ke-87,2023,TKJ,10 TKJ 1,Siswa 87,perempuan,Yogyakarta,2007-06-29,Hindu,WNI,"Jl. Contoh Dummy No. 87, Kota Yogyakarta",083787579306,147,71,1,1,Piatu,Orang Tua,Ayah dari Siswa 87,Wiraswasta,088591496637,Ibu dari Siswa 87,Wiraswasta,086460531389
0070299358,password123,aktif,Siswa Dummy Ke-88,2023,TKJ,10 TKJ 1,Siswa 88,perempuan,Yogyakarta,2007-07-02,Kristen,WNI,"Jl. Contoh Dummy No. 88, Kota Yogyakarta",082014600904,179,65,2,3,Lengkap,Orang Tua,Ayah dari Siswa 88,Wiraswasta,083362993998,Ibu dari Siswa 88,PNS,084977199631
0028440593,password123,aktif,Siswa Dummy Ke-89,2023,RPL,10 RPL 1,Siswa 89,Laki-laki,Bandung,2007-11-11,Kristen,WNI,"Jl. Contoh Dummy No. 89, Kota Bandung",087807784646,156,45,1,1,Lengkap,Orang Tua,Ayah dari Siswa 89,Pegawai Swasta,082368808980,Ibu dari Siswa 89,Pegawai Swasta,085357252149
0050419797,password123,drop_out,Siswa Dummy Ke-90,2023,RPL,10 RPL 1,Siswa 90,perempuan,Yogyakarta,2008-03-13,Kristen,WNI,"Jl. Contoh Dummy No. 90, Kota Yogyakarta",086279559380,176,54,3,5,Lengkap,Orang Tua,Ayah dari Siswa 90,Pegawai Swasta,083263696735,Ibu dari Siswa 90,Pegawai Swasta,084076493053
0060785037,password123,aktif,Siswa Dummy Ke-91,2023,TKJ,10 TKJ 1,Siswa 91,perempuan,Bandung,2007-12-18,Islam,WNI,"Jl. Contoh Dummy No. 91, Kota Bandung",088100838686,167,47,1,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 91,Wiraswasta,087573928982,Ibu dari Siswa 91,Wiraswasta,081675282178
0060455670,password123,drop_out,Siswa Dummy Ke-92,2023,IPS,10 IPS 1,Siswa 92,perempuan,Jakarta,2008-08-16,Kristen,WNI,"Jl. Contoh Dummy No. 92, Kota Jakarta",085042069853,150,82,1,1,Yatim,Orang Tua,Ayah dari Siswa 92,Wiraswasta,082317197799,Ibu dari Siswa 92,Pegawai Swasta,089026474584
0017818494,password123,drop_out,Siswa Dummy Ke-93,2023,RPL,10 RPL 1,Siswa 93,perempuan,Semarang,2007-01-12,Kristen,WNI,"Jl. Contoh Dummy No. 93, Kota Semarang",083097907287,163,80,1,1,Lengkap,Orang Tua,Ayah dari Siswa 93,PNS,081078527824,Ibu dari Siswa 93,Wiraswasta,086848598645
0013159004,password123,aktif,Siswa Dummy Ke-94,2023,Multimedia,10 Multimedia 1,Siswa 94,perempuan,Yogyakarta,2007-05-08,Konghucu,WNI,"Jl. Contoh Dummy No. 94, Kota Yogyakarta",083865755140,178,46,2,4,Yatim,Orang Tua,Ayah dari Siswa 94,PNS,089926550027,Ibu dari Siswa 94,Ibu Rumah Tangga,084443926278
0035625955,password123,aktif,Siswa Dummy Ke-95,2023,IPS,10 IPS 1,Siswa 95,Laki-laki,Bandung,2007-12-26,Konghucu,WNI,"Jl. Contoh Dummy No. 95, Kota Bandung",083446630817,158,58,1,2,Piatu,Orang Tua,Ayah dari Siswa 95,Pegawai Swasta,082518736797,Ibu dari Siswa 95,Ibu Rumah Tangga,081206980371
0097951679,password123,lulus,Siswa Dummy Ke-96,2023,Multimedia,10 Multimedia 1,Siswa 96,Laki-laki,Malang,2007-05-21,Islam,WNI,"Jl. Contoh Dummy No. 96, Kota Malang",086423795769,149,75,1,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 96,Petani,083230402445,Ibu dari Siswa 96,Pegawai Swasta,081058235678
0040212636,password123,aktif,Siswa Dummy Ke-97,2023,Bahasa,10 Bahasa 1,Siswa 97,Laki-laki,Surabaya,2007-03-10,Buddha,WNI,"Jl. Contoh Dummy No. 97, Kota Surabaya",084789947374,171,72,2,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 97,PNS,085538488558,Ibu dari Siswa 97,Wiraswasta,088380029837
0030540786,password123,aktif,Siswa Dummy Ke-98,2023,Multimedia,10 Multimedia 1,Siswa 98,perempuan,Yogyakarta,2008-09-24,Konghucu,WNI,"Jl. Contoh Dummy No. 98, Kota Yogyakarta",084322632967,146,56,3,3,Yatim Piatu,Orang Tua,Ayah dari Siswa 98,Pegawai Swasta,084034640436,Ibu dari Siswa 98,PNS,088566742711
0054904295,password123,drop_out,Siswa Dummy Ke-99,2023,Multimedia,10 Multimedia 1,Siswa 99,perempuan,Semarang,2008-04-27,Hindu,WNI,"Jl. Contoh Dummy No. 99, Kota Semarang",087879507479,174,75,1,4,Lengkap,Orang Tua,Ayah dari Siswa 99,PNS,081791710743,Ibu dari Siswa 99,Pegawai Swasta,081148625424
0010970410,password123,aktif,Siswa Dummy Ke-100,2023,TKJ,10 TKJ 1,Siswa 100,perempuan,Surabaya,2008-08-19,Kristen,WNI,"Jl. Contoh Dummy No. 100, Kota Surabaya",084669981062,169,58,2,4,Yatim,Orang Tua,Ayah dari Siswa 100,Petani,081439604454,Ibu dari Siswa 100,Wiraswasta,082561566370
